Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-05,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.286952,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.456841,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.791292,TraderOne,Tick,0,0,0,0,124200,,0,0,0,OK
1.204697,TraderOne,Tick,0,0,0,0,124200,124500,0,0,0,OK
1.333284,TraderOne,Tick,0,0,0,0,124200,124500,0,0,0,OK
1.534717,TraderOne,Tick,0,0,0,0,124200,124500,0,0,0,OK
1.916082,TraderOne,Tick,0,0,0,0,123800,124200,0,0,0,OK
1.980842,TraderOne,Tick,0,0,0,0,123600,124200,0,0,0,OK
2.346185,TraderOne,Tick,0,0,0,0,123600,124300,0,0,0,OK
2.482814,TraderOne,Tick,0,0,0,0,123600,124300,0,0,0,OK
2.810179,TraderOne,Tick,0,0,0,0,123600,124300,0,0,0,OK
2.972311,TraderOne,Tick,0,0,0,0,123600,124300,0,0,0,OK
3.285921,TraderOne,Tick,0,20,-20,20,124700,124500,499,5501,1501,OK
3.50538,TraderOne,Tick,0,40,-40,40,124700,124500,998,11002,3002,OK
3.881235,TraderOne,Tick,0,60,-60,60,124700,124500,1497,20503,8503,OK
3.970923,TraderOne,Tick,0,60,-60,60,124700,124500,1497,20503,8503,OK
4.438065,TraderOne,Tick,0,60,-60,60,124800,124200,1497,20503,8503,OK
4.540461,TraderOne,Tick,0,60,-60,60,124800,124200,1497,20503,8503,OK
4.767042,TraderOne,Tick,0,60,-60,60,124800,124200,1497,20503,8503,OK
5.045896,TraderOne,Tick,0,60,-60,60,124800,124200,1497,20503,8503,OK
5.349225,TraderOne,Tick,0,60,-60,60,124800,124100,1497,20503,8503,OK
5.53471,TraderOne,Tick,0,60,-60,60,124800,124100,1497,20503,8503,OK
5.776849,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
6.042501,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
6.291116,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
6.517012,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
6.703924,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
7.11573,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
7.296296,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
7.485782,TraderOne,Tick,0,60,-60,60,124700,124100,1497,20503,8503,OK
7.794759,TraderOne,Tick,0,60,-60,60,124700,124200,1497,20503,8503,OK
8.138501,TraderOne,Tick,0,60,-60,60,124700,124400,1497,20503,8503,OK
8.371588,TraderOne,Tick,0,60,-60,60,124700,124400,1497,20503,8503,OK
8.525172,TraderOne,Tick,0,60,-60,60,124700,124400,1497,20503,8503,OK
8.781655,TraderOne,Tick,0,60,-60,60,124700,124400,1497,20503,8503,OK
9.039019,TraderOne,Tick,0,60,-60,60,124700,124400,1497,20503,8503,OK
9.300048,TraderOne,Tick,0,60,-60,60,125000,124400,1497,20503,8503,OK
9.61094,TraderOne,Tick,0,60,-60,60,125000,124400,1497,20503,8503,OK
9.788992,TraderOne,Tick,0,60,-60,60,125000,124400,1497,20503,8503,OK
10.028838,TraderOne,Tick,61,60,1,-1,123900,124300,3009,37291,37091,OK
10.353856,TraderOne,Tick,61,60,1,-1,123900,124400,3009,37291,37091,OK
10.503653,TraderOne,Tick,61,60,1,-1,123900,124400,3009,37291,37091,OK
10.873176,TraderOne,Tick,61,60,1,-1,123900,124300,3009,37291,37091,OK
11.006086,TraderOne,Tick,61,60,1,-1,123900,124300,3009,37291,37091,OK
11.21382,TraderOne,Tick,61,60,1,-1,123900,124300,3009,37291,37091,OK
11.465868,TraderOne,Tick,61,60,1,-1,123900,124300,3009,37291,37091,OK
11.793831,TraderOne,Tick,81,60,21,-21,124500,124300,3505,36795,40995,OK
11.961576,TraderOne,Tick,81,60,21,-21,124500,124300,3505,36795,40995,OK
12.325983,TraderOne,Tick,81,60,21,-21,124500,124300,3505,36795,40995,OK
12.52282,TraderOne,Tick,81,60,21,-21,124500,124300,3505,36795,40995,OK
12.873118,TraderOne,Tick,81,60,21,-21,124500,124000,3505,36795,40995,OK
13.040051,TraderOne,Tick,81,60,21,-21,123900,124000,3505,36795,34695,OK
13.247561,TraderOne,Tick,81,60,21,-21,123900,124000,3505,36795,34695,OK
13.511683,TraderOne,Tick,81,60,21,-21,123900,124000,3505,36795,34695,OK
13.796802,TraderOne,Tick,81,60,21,-21,124500,124000,3505,36795,40995,OK
14.026315,TraderOne,Tick,81,101,-20,20,123900,124000,4521,31679,33679,OK
14.437133,TraderOne,Tick,81,109,-28,28,123900,123900,4719,30681,30681,OK
14.551872,TraderOne,Tick,81,109,-28,28,123900,123900,4719,30681,30681,OK
14.70812,TraderOne,Tick,81,109,-28,28,123900,123900,4719,30681,30681,OK
15.002529,TraderOne,Tick,81,109,-28,28,123900,123900,4719,30681,30681,OK
15.22424,TraderOne,Tick,81,109,-28,28,123400,123900,4719,30681,36281,OK
15.63387,TraderOne,Tick,81,109,-28,28,123400,123900,4719,30681,36281,OK
15.74728,TraderOne,Tick,81,109,-28,28,123400,123900,4719,30681,36281,OK
16.058262,TraderOne,Tick,81,109,-28,28,123400,123900,4719,30681,36281,OK
16.224313,TraderOne,Tick,104,109,-5,5,123800,123900,5288,27812,28312,OK
16.627658,TraderOne,Tick,104,109,-5,5,123800,123700,5288,27812,27312,OK
16.849303,TraderOne,Tick,104,109,-5,5,123800,123700,5288,27812,27312,OK
17.044737,TraderOne,Tick,104,109,-5,5,123800,123700,5288,27812,27312,OK
17.297412,TraderOne,Tick,104,109,-5,5,123800,123700,5288,27812,27312,OK
17.631499,TraderOne,Tick,104,109,-5,5,123800,123700,5288,27812,27312,OK
17.708975,TraderOne,Tick,104,109,-5,5,123800,123700,5288,27812,27312,OK
18.212752,TraderOne,Tick,104,109,-5,5,124400,123700,5288,27812,26812,OK
18.24193,TraderOne,Tick,104,109,-5,5,124400,123700,5288,27812,26812,OK
18.540851,TraderOne,Tick,104,109,-5,5,124400,123700,5288,27812,26812,OK
18.740786,TraderOne,Tick,104,109,-5,5,124400,123700,5288,27812,26812,OK
19.410607,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
19.746233,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
19.836024,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
20.049196,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
20.251655,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
20.496015,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
20.764666,TraderOne,Tick,104,109,-5,5,124400,123800,5288,27812,26812,OK
21.05497,TraderOne,Tick,129,109,20,-20,123600,123900,5906,34694,30694,OK
21.244616,TraderOne,Tick,134,109,25,-25,123600,123900,6030,36070,31070,OK
21.491276,TraderOne,Tick,134,109,25,-25,123600,123900,6030,36070,31070,OK
21.80577,TraderOne,Tick,134,109,25,-25,123600,123900,6030,36070,31070,OK
22.027333,TraderOne,Tick,134,109,25,-25,123600,123900,6030,36070,31070,OK
22.353699,TraderOne,Tick,134,109,25,-25,123600,123900,6030,36070,31070,OK
22.55074,TraderOne,Tick,134,109,25,-25,124500,123900,6030,36070,41070,OK
22.789662,TraderOne,Tick,134,109,25,-25,124500,123900,6030,36070,41070,OK
23.039263,TraderOne,Tick,134,109,25,-25,124500,123900,6030,36070,41070,OK
23.282258,TraderOne,Tick,134,109,25,-25,124800,123900,6030,36070,41070,OK
23.491059,TraderOne,Tick,134,153,-19,19,124200,123900,7123,30577,26777,OK
23.808527,TraderOne,Tick,134,153,-19,19,124800,124200,7123,30577,26777,OK
23.987448,TraderOne,Tick,134,153,-19,19,124800,124200,7123,30577,26777,OK
24.29133,TraderOne,Tick,134,153,-19,19,124800,124200,7123,30577,26777,OK
24.502382,TraderOne,Tick,134,153,-19,19,124800,124200,7123,30577,26777,OK
24.719303,TraderOne,Tick,134,153,-19,19,124800,124200,7123,30577,26777,OK
25.02136,TraderOne,Tick,134,153,-19,19,124800,124200,7123,30577,26777,OK
25.307755,TraderOne,Tick,134,173,-39,39,124800,124200,7621,36079,28279,OK
25.597742,TraderOne,Tick,134,184,-50,50,124500,124400,7895,34705,29705,OK
25.728007,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
25.989344,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
26.226154,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
26.528607,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
26.773704,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
26.952822,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
27.279863,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
27.52858,TraderOne,Tick,134,184,-50,50,124000,124400,7895,34705,44705,OK
27.820513,TraderOne,Tick,134,204,-70,70,124800,124400,8394,38206,24206,OK
28.033673,TraderOne,Tick,134,224,-90,90,124800,124400,8893,43707,25707,OK
28.268839,TraderOne,Tick,134,234,-100,100,124800,124400,9143,45457,25457,OK
28.521433,TraderOne,Tick,134,234,-100,100,124800,124400,9143,45457,25457,OK
28.755032,TraderOne,Tick,134,234,-100,100,124800,124400,9143,45457,25457,OK
29.014963,TraderOne,Tick,134,234,-100,100,125200,124400,9143,45457,25457,OK
29.281872,TraderOne,Tick,134,234,-100,100,124300,124400,9143,45457,55457,OK
29.576315,TraderOne,Tick,134,234,-100,100,124300,124400,9143,45457,55457,OK
29.795066,TraderOne,Tick,134,234,-100,100,124300,124600,9143,45457,65457,OK
29.966025,TraderOne,Tick,134,234,-100,100,124300,124600,9143,45457,65457,OK
30.247841,TraderOne,Tick,134,234,-100,100,124000,124600,9143,45457,65457,OK
30.513273,TraderOne,Tick,134,234,-100,100,124400,124600,9143,45457,65457,OK
30.843321,TraderOne,Tick,134,234,-100,100,124400,124500,9143,45457,55457,OK
31.03938,TraderOne,Tick,134,234,-100,100,124400,124500,9143,45457,55457,OK
31.219784,TraderOne,Tick,134,234,-100,100,124400,124500,9143,45457,55457,OK
31.581189,TraderOne,Tick,134,234,-100,100,124800,124500,9143,45457,25457,OK
31.751129,TraderOne,Tick,134,234,-100,100,124800,124500,9143,45457,25457,OK
31.991009,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
32.246776,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
32.548195,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
32.791458,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
33.022988,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
33.248417,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
33.50044,TraderOne,Tick,134,234,-100,100,125400,124500,9143,45457,25457,OK
33.79482,TraderOne,Tick,134,234,-100,100,125300,124700,9143,45457,25457,OK
34.154255,TraderOne,Tick,134,234,-100,100,125100,124700,9143,45457,25457,OK
34.271849,TraderOne,Tick,134,234,-100,100,125100,124700,9143,45457,25457,OK
34.600248,TraderOne,Tick,134,234,-100,100,125100,124700,9143,45457,25457,OK
34.702359,TraderOne,Tick,134,234,-100,100,125100,124700,9143,45457,25457,OK
35.028767,TraderOne,Tick,134,234,-100,100,125100,124700,9143,45457,25457,OK
35.366005,TraderOne,Tick,134,234,-100,100,125100,124400,9143,45457,25457,OK
35.506516,TraderOne,Tick,134,234,-100,100,125100,124400,9143,45457,25457,OK
35.788281,TraderOne,Tick,134,234,-100,100,125100,124400,9143,45457,25457,OK
35.952625,TraderOne,Tick,134,234,-100,100,125100,124400,9143,45457,25457,OK
36.20921,TraderOne,Tick,134,234,-100,100,125100,124400,9143,45457,25457,OK
36.457441,TraderOne,Tick,134,234,-100,100,124500,124400,9143,45457,35457,OK
36.754964,TraderOne,Tick,134,234,-100,100,124500,124400,9143,45457,35457,OK
37.040471,TraderOne,Tick,134,234,-100,100,125000,124400,9143,45457,25457,OK
37.264879,TraderOne,Tick,134,234,-100,100,125000,124400,9143,45457,25457,OK
37.464296,TraderOne,Tick,134,234,-100,100,125000,124400,9143,45457,25457,OK
37.914041,TraderOne,Tick,134,234,-100,100,125000,124500,9143,45457,25457,OK
38.01894,TraderOne,Tick,134,234,-100,100,125000,124500,9143,45457,25457,OK
38.370171,TraderOne,Tick,134,234,-100,100,124900,124600,9143,45457,25457,OK
38.573262,TraderOne,Tick,134,234,-100,100,124900,124600,9143,45457,25457,OK
38.775022,TraderOne,Tick,134,234,-100,100,124900,124600,9143,45457,25457,OK
38.976251,TraderOne,Tick,134,234,-100,100,124900,124600,9143,45457,25457,OK
39.23702,TraderOne,Tick,134,234,-100,100,124900,124600,9143,45457,25457,OK
39.679499,TraderOne,Tick,134,234,-100,100,124900,124800,9143,45457,35457,OK
39.798791,TraderOne,Tick,134,234,-100,100,124900,124800,9143,45457,35457,OK
40.02799,TraderOne,Tick,134,234,-100,100,124900,124800,9143,45457,35457,OK
40.2753,TraderOne,Tick,134,234,-100,100,124900,124800,9143,45457,35457,OK
40.588055,TraderOne,Tick,170,234,-64,64,124900,124800,10042,40958,34558,OK
40.789338,TraderOne,Tick,170,234,-64,64,124900,124800,10042,40958,34558,OK
40.994909,TraderOne,Tick,178,234,-56,56,124700,124800,10242,41558,47158,OK
41.241772,TraderOne,Tick,178,234,-56,56,124700,124800,10242,41558,47158,OK
41.527691,TraderOne,Tick,178,234,-56,56,125400,124800,10242,41558,30358,OK
